Company,Description,Phone,Address,Website,Total reviews,Rate reviews,Plus code,Image url,Accessibility
Escola de Futebol Boca Juniors,Escola de esportes,(41) 3011-3580,"Rua Renato Polatti, 2535b - Campo Comprido, Curitiba - PR, 81230-170",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiR8e_pkICHAxVgRUgAHVlHD-IYABAAGgJjZQ&ase=2&gclid=EAIaIQobChMIkfHv6ZCAhwMVYEVIAB1ZRw_iEBAYASAAEgLjRfD_BwE&ohost=www.google.com.br&cid=CAASE-RoujGu5LVNcenqiozxmi_N2LY&sig=AOD64_3oLiw7h1jmw3PxmnCbZd_H7UqbNw&adurl&q&ctype=99&nis=6,(27),"4,3","GMQF+GF Campo Comprido, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipORpN2SxNHLFdw3vGViQGy6D3Vz2fGqz64vIIwT=w408-h304-k-no,true
Clube da Bola Aluguel de Quadras,Quadra de esportes,(41) 3332-8388,"R. Francisco Nunes, 110 - Rebouças, Curitiba - PR, 80215-000",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiR8e_pkICHAxVgRUgAHVlHD-IYABAAGgJjZQ&ase=2&gclid=EAIaIQobChMIkfHv6ZCAhwMVYEVIAB1ZRw_iEBAYASAAEgLjRfD_BwE&ohost=www.google.com.br&cid=CAASE-RoujGu5LVNcenqiozxmi_N2LY&sig=AOD64_3oLiw7h1jmw3PxmnCbZd_H7UqbNw&adurl&q&ctype=99&nis=6,(409),"4,4","HP5R+4C Rebouças, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipMVIDX1OcXNKLpTDiu1v37WXvvsZg_g844vCaDV=w408-h725-k-no,true
Atlanta Locação de Quadras,Quadra de esportes,(41) 3275-1711,"R. Carolina Derosso, 108 - Xaxim, Curitiba - PR, 81810-510",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiR8e_pkICHAxVgRUgAHVlHD-IYABAAGgJjZQ&ase=2&gclid=EAIaIQobChMIkfHv6ZCAhwMVYEVIAB1ZRw_iEBAYASAAEgLjRfD_BwE&ohost=www.google.com.br&cid=CAASE-RoujGu5LVNcenqiozxmi_N2LY&sig=AOD64_3oLiw7h1jmw3PxmnCbZd_H7UqbNw&adurl&q&ctype=99&nis=6,(1.252),"4,4","GP3H+2P Xaxim, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipMVEOQfCqfdJBYmvFgGfQC71MrD_db80uv7ay5j=w408-h306-k-no,true
Ginásio de Esportes Apollo,Quadra de esportes,(41) 99960-2209,"R. Canal Belém - Marginal Leste, 8027 - Uberaba, Curitiba - PR, 81580-190",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiR8e_pkICHAxVgRUgAHVlHD-IYABAAGgJjZQ&ase=2&gclid=EAIaIQobChMIkfHv6ZCAhwMVYEVIAB1ZRw_iEBAYASAAEgLjRfD_BwE&ohost=www.google.com.br&cid=CAASE-RoujGu5LVNcenqiozxmi_N2LY&sig=AOD64_3oLiw7h1jmw3PxmnCbZd_H7UqbNw&adurl&q&ctype=99&nis=6,(1.664),"4,6","GQ4F+6Q Uberaba, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOjwFAHDQXd3k7TrPqV8UjTIrMD1Cd-7WVDuKCY=w429-h240-k-no,true
"Contorno da Bola - Futevôlei, Beach Tennis e Vôlei de Praia",Quadra de esportes,(41) 98849-0857,"R. Canal Belém - Marginal Leste, 8027 - Uberaba, Curitiba - PR, 81580-190",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(1.664),"4,6","GQ4F+6Q Uberaba, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipOjwFAHDQXd3k7TrPqV8UjTIrMD1Cd-7WVDuKCY=w429-h240-k-no,true
Quadra 7 Esportes,Quadra de esportes,(41) 99897-7187,"R. Delfina Braga Visinoni, 5227 - Orleans, Curitiba - PR, 82305-100",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(840),"4,5","HM93+GW Orleans, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNvV_A-ZqQYGdFCVckuIScvsXZIQxTNNSJ1-pQr=w408-h272-k-no,true
Cia da Bola,Quadra de esportes,(41) 98417-6710,"R. Cascavel, 470 - Boqueirão, Curitiba - PR, 81670-180",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(677),"4,3","FPWX+4H Boqueirão, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipP1a-gVVkaLAvk6RgBcCWW_M8Lr4-zvFjdWYfF4=w425-h240-k-no,true
Toque de Bola Locação de Quadra,Quadra de esportes,(41) 3079-9343,"R. Prof. Pedro Viriato Parigot de Souza, 1700 - Mossunguê, Curitiba - PR, 81200-100",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(645),"4,6","HM7F+JJ Mossunguê, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipMtFUD1ojoFdarzOYZ-tCxz6FHFFcG9W33iis7B=w426-h240-k-no,true
Duga Sports,Quadra de esportes,(41) 3359-9577,"Rua Paraguassu, S/N - Juvevê, Curitiba - PR, 80030-270",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(140),"4,3","HPHV+X8 Juvevê, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipORlWOaKtK2M10ccKNftH64794kEJ8YFh9lkG4X=w408-h392-k-no,true
Top Sports Centro Esportivo,Quadra de esportes,(41) 3346-1117,"Rua Dr. Joaquim Ignácio Silveira da Motta, 1211 - Uberaba, Curitiba - PR, 81530-512",//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw9pSGkYCHAxUlREgAHXvrBc4YABABGgJjZQ&ase=2&gclid=EAIaIQobChMIsPaUhpGAhwMVJURIAB176wXOEBAYASAAEgIyv_D_BwE&ohost=www.google.com.br&cid=CAASE-RoR1BPUAFQ3MEsjkza_IXgU1U&sig=AOD64_1L_mAakcR3gG2Oup4pZYexCY8A5Q&adurl&q&ctype=99&nis=6,(427),"4,6","GQJ8+FM Uberaba, Curitiba - PR",https://lh5.googleusercontent.com/p/AF1QipNkSenp4734ZQ389piQhZrg6Y6Y6BEUl_N9VKMC=w408-h306-k-no,true
