Company,Phone,Location,Website
Quadra de Esporte Espaço da Bola,(41) 3096-0655,"Rua Dona Izabel A Redentora, 2355 - Centro, São José dos Pinhais - PR, 83005-010",
Centro de Esportes e Lazer Ney Braga,(41) 3381-5938,"Av. Rui Barbosa, 6400 - Afonso Pena, São José dos Pinhais - PR",https://www.sjp.pr.gov.br/secretarias/secretaria-esporte-e-lazer/grade-horaria-ney-braga-modalidades/
Arena ArtGol Sports,(41) 98463-2015,"R. Anselmo Vacari, 360 - Águas Belas, São José dos Pinhais - PR, 83040-580",https://wa.me/c/554184632015
Moro Sports Quadras Esportivas,,"R. Barão do Cerro Azul, 2214 - Bom Jesus, São José dos Pinhais - PR, 83025-140",https://api.whatsapp.com/send?phone=554133821196
Quadra de esportes Elite Sport Bar,,"R. Nodiran Gonçalves Cordeiro, 19300 - Colônia Rio Grande, São José dos Pinhais - PR, 83020-842",https://elite-sport-bar.negocio.site/?utm_source=gmb&utm_medium=referral
Quadra contorno esportes,,"R. Lílian Viana de Araújo, 452 - Cidade Jardim, São José dos Pinhais - PR, 83035-120",https://www.instagram.com/contorno__esportes/
Orange,(41) 99128-7225,"R. Alm. Alexandrino, 2700 - Afonso Pena, São José dos Pinhais - PR, 83045-210",
Domínio da Bola,(41) 3588-8832,"R. Dr. Murici, 4187 - Costeira, São José dos Pinhais - PR, 83015-290",
Juliatto Esportes,(41) 99979-3096,"Rua Prof, R. Profa. Marieta de Souza e Silva, 2580 - Iná, São José dos Pinhais - PR, 83050-160",
Ginásio Cobra,(41) 99105-3088,"R. Santa Efigênia, 280 - Roseira De - São Sebastiao, São José dos Pinhais - PR, 83070-200",
Quadra Esportiva Vila Nova,,"Av. Rui Barbosa - Afonso Pena, São José dos Pinhais - PR, 83050-160",
Cobra Locação de Quadras,,"R. Joaquim Inácio de Souza, 197 - Cidade Jardim, São José dos Pinhais - PR, 83035-280",
DidioSports,(41) 99706-1780,"Campina, São José dos Pinhais - PR",
Anselmo Quadras,,"R. Ten. Djalma Dutra, 1743 - Centro, São José dos Pinhais - PR, 83005-360",
VW Basquete - São José dos Pinhais,(41) 99172-7313,"R. Aristides Borges de Macedo, 166 - São Pedro, São José dos Pinhais - PR, 83005-580",
Ginasio de Esportes Monte Castelo,(41) 3283-4565,"Av. Rui Barbosa, 7160 - Boneca do Iguaçu, São José dos Pinhais - PR, 83040-550",
Aliança Sports,(41) 99987-1525,"R. Giocondo Dall Stela, 631-721 - Quissisana, São José dos Pinhais - PR, 83085-050",
Centro de Esporte e Lazer Maria Pissaia Zanqueta,(41) 3283-6590,"R. Alberto Koerbel - Iná, São José dos Pinhais - PR, 83065-300",
Quadra Esportiva,,"R. Profa. Marieta de Souza e Silva, 2549 - Parque da Fonte, São José dos Pinhais - PR, 83050-160",
Centro Esportivo Master Clube São José,(41) 99181-4169,"R. Zacarias Alves Pereira, 358 - Aristocrata, São José dos Pinhais - PR, 83030-480",
Arena São José - SJP,(41) 99197-9058,"R. Roberto Meres de Credo, 1077-899 - Iná, São José dos Pinhais - PR, 83065-120",
Tatus,,"R. Bernardo Dombrowski - Parque da Fonte, São José dos Pinhais - PR, 83050-440",
Campo de Futebol Parque da Fonte - São José dos Pinhais,,"R. Roberto Meres de Credo, 1000 - Iná, São José dos Pinhais - PR, 83065-120",
Resenha Quadra,(41) 99580-6806,"Alameda dos Eucalíptos, 823 - Del Rey, São José dos Pinhais - PR, 83015-500",
Chácara dos Pinheiros,(41) 99106-1367,"R. Ver. Narciso Mendes, 550 - Cidade Jardim, São José dos Pinhais - PR, 83035-390",
Quadras Externas APMG,,"R. Bernardo Dombrowski, 269-107 - Parque da Fonte, São José dos Pinhais - PR, 83050-440",
Quadrinha do Blackout,(41) 99575-4522,"R. Ilhio Pedro Gasparelo, 57 - Cruzeiro, São José dos Pinhais - PR, 83010-360",
MBG - Grama Sintética e Quadras Esportivas,(41) 99266-0394,"R. Célia Terezinha Bassa, 425-775 - Jurema, São José dos Pinhais - PR",
Campo de Futebol Gilbertinho,(41) 99979-1433,"R. Ilo Antoninho Mozer, 650-832 - Guatupê, São José dos Pinhais - PR, 83060-480",
Centro de esporte e lazer itagibe quirino,(41) 3398-2726,"R. Osvaldo da Silva Bassu, 1121 - Parque da Fonte, São José dos Pinhais - PR, 83050-590",
Campo do Primavera,,"R. João Fraga Neto, 2538 - Guatupê, São José dos Pinhais - PR, 83060-540",
Connect Sports Futebol e Fitness,(41) 3383-7485,"R. Silvio Pinto Ribeiro, 2189 - Quissisana, São José dos Pinhais - PR, 83085-400",http://www.connectsports.com.br/
Chácara Dona Bina,(41) 98775-7195,"R. Mal. Deodoro da Fonseca, 1023 - Centro, São José dos Pinhais - PR, 83005-300",
Na Praia,(41) 99892-8333,"São Domingos, São José dos Pinhais - PR, 83030-020",
Cancha de Futebol de Areia,,"R. Alm. Alexandrino, 2700 - Afonso Pena, São José dos Pinhais - PR, 83045-210",
ESCOLA FUTEBOL OFICIAL BOCA JUNIORS - SÃO JOSÉ DOS PINHAIS,(41) 99613-2158,"R. Acre, 644 - Iguacu, São José dos Pinhais - PR, 83040-030",http://bocajuniorsbrasil.com.br/saojosedospinhais
Tupiniquim Futebol - Unidade São José dos Pinhais,(41) 99813-6886,"R. Ilhio Pedro Gasparelo, 854 - Cruzeiro, São José dos Pinhais - PR, 83010-360",https://tupiniquimfutebol.com.br/
Ginásio Santos Dumont,,"R. Ernesto Juliatto, 3202 - Arujá, São José dos Pinhais - PR, 83020-830",
Campo Cavalão,,"Rua Adolfo Saviski, 416 - Santo Antônio, São José dos Pinhais - PR, 83025-640",
Recanto Esportivo Colonia - REC,(41) 99715-1686,"R. Mitcheslau Magnuskei - Guatupê, São José dos Pinhais - PR, 83060-209",
Cancha de bocha,,"Av. Rui Barbosa, 4997 - Iná, São José dos Pinhais - PR, 83045-350",
CANCHA ORIBOL,,"Santo Antônio, São José dos Pinhais - PR, 83025-460",
PRAÇA MARIA FERREIRA DE LIMA,,"R. Marcelino Nogueira, 205 / 691 - Centro, São José dos Pinhais - PR, 83005-370",
CT São José,(41) 99564-8618,"Alameda Min. Aramis Athayde, 304 - Academia, São José dos Pinhais - PR, 83065-280",https://instagram.com/ctsaojose?igshid=YmMyMTA2M2Y=
Campo de Futebol APMG,,"R. Ernesto Juliatto, 987 - Zacarias, São José dos Pinhais - PR, 83020-830",
Chácara Ernesto,,"R. Prof. Teodoro Winkler, s/n - Cidade Jardim, São José dos Pinhais - PR, 83035-490",
Núcleo de Esporte e Lazer Cidade Jardim,(41) 3384-6214,"FVW3+2P - Academia, São José dos Pinhais - PR",http://www.sjp.pr.gov.br/secretarias/secretaria-esporte-e-lazer/locais-para-pratica-esportiva/
Campo de Futebol e pista de atletismo APMG,,"R. Const. Moro Sobrinho, 3385 - Jurema, São José dos Pinhais - PR, 83085-300",
Chácara danilu's house,(41) 98710-4555,"R. José Francisco Negoseki, 390 - Zacarias, São José dos Pinhais - PR, 83020-838",
Campo do Déio,,"Av. Rui Barbosa, 6285 - Jardim Aviação, São José dos Pinhais - PR, 83045-350",
Piazote Sports Bar,(41) 98879-0808,"Area Rural, São José dos Pinhais - PR",http://www.piazotesports.com.br/
CHACARA RIO PEQUENO,(41) 99926-9256,"R. Ernesto Juliatto, 2000 - Zacarias, São José dos Pinhais - PR, 83020-830",
Chácara do Tomás,(41) 99997-3666,"R. Profa. Dolores Taborda Ribas, 232-310 - Rio Pequeno, São José dos Pinhais - PR, 83065-510",
Núcleo de Esportes - Jd Nsra de Fátima,(41) 3382-7927,"R. Eugênio Môro, 2000 - Del Rey, São José dos Pinhais - PR, 83090-220",
São José Eco Paintball,(41) 99860-1003,"Av. Sen. Souza Naves, n° 591 - Três Marias, São José dos Pinhais - PR, 83030-620",https://www.sjep.com.br/
Floor Tech Brasil,(41) 98891-8388,"Av. das Torres, 100 - Uberaba, São José dos Pinhais - PR, 83005-450",https://floortechbrasil.com.br/
Parque São José,(41) 3382-1622,"R. Joaquim Inácio de Souza, 197 - Cidade Jardim, São José dos Pinhais - PR, 83035-280",http://www.sjp.pr.gov.br/
Escola de futsal Carvalhos Sports / Saojoseense,(41) 99216-3050,"R. Antônio Môro, 105 - Costeira, São José dos Pinhais - PR, 83010-300",
Estádio Municipal do Pinhão,(41) 3587-1362,"Rua Dona Izabel A Redentora, 1434 - 115 - Centro, São José dos Pinhais - PR, 83005-010",
TENNIS & TRAINNING,(41) 3035-6383,"7240, R. Teófilo Negosek, 6790 - Zacarias, São José dos Pinhais - PR",http://shoppingsaojose.com.br/
Campo do Roberto,,"R. João Kosiak, 4430 - Colônia Murici, São José dos Pinhais - PR, 83090-380",
Campo De Futebol,,"Rua Dona Izabel A Redentora, 2347 - Centro, São José dos Pinhais - PR, 83005-010",
Secretaria Municipal De Esporte E Lazer,(41) 3381-5938,"R. Maria Helena, 77 - Centro, São José dos Pinhais - PR, 83005-010",https://www.sjp.pr.gov.br/secretarias/secretaria-esporte-e-lazer/
Airsoft São José,(41) 99832-4101,"R. Francisco Pereira da Cruz, 629-615 - Campo Largo da Roseira, São José dos Pinhais - PR, 83091-200",http://www.instagram.com/airsoftsaojose
